Nombre de la carrera,Dirección,Área del conocimiento,Datos Estadísticos (DGAE-UNAM),Aciertos Mínimos por Examen de Selección,Promedio de corte pase reglamentado,Cupo,Características del aspirante,Descripción de la carrera,Palabras asociadas
Ingeniería Civil,Facultad de Ingeniería (Cd. Mx.) / FES Acatlán (Edo. Méx.) / FES Aragón (Edo. Méx.),Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 6,295. La asignación total de lugares para esta carrera fue de 1,178, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 31% del alumnado de primer ingreso son mujeres y 69% hombres.",Facultad de Ingeniería: 92 | FES Acatlán: 72 | FES Aragón: 72,Facultad de Ingeniería: 8.36 | FES Acatlán: 7.72 | FES Aragón: 7.69,"Asignación total de 1,178 lugares","Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos en matemáticas y física. Interés por la construcción, las grandes obras de infraestructura y la planeación urbana.","El ingeniero civil proyecta, diseña, construye y mantiene obras de infraestructura como edificios, puentes, carreteras, presas y sistemas hidráulicos, contribuyendo al desarrollo del país.","ingeniería civil, construcción, estructuras, hidráulica, vías terrestres, geotecnia, sanitaria, infraestructura"
Ingeniería de Minas y Metalurgia,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 334. La asignación total de lugares para esta carrera fue de 110, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 35% del alumnado de primer ingreso son mujeres y 65% hombres.",Facultad de Ingeniería: 69,Facultad de Ingeniería: 7.75,Asignación total de 110 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la minería, la extracción de minerales y los procesos metalúrgicos. Gusto por el trabajo de campo y la industria extractiva.","El ingeniero de minas y metalurgista explora, explota y beneficia los recursos minerales, aplicando técnicas de extracción minera y procesos metalúrgicos para la obtención de metales y materiales.","minería, metalurgia, extracción de minerales, geología de minas, beneficio de minerales, metalurgia extractiva, seguridad minera"
Ingeniería Eléctrica Electrónica,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 2,414. La asignación total de lugares para esta carrera fue de 381, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 22% del alumnado de primer ingreso son mujeres y 78% hombres.",Facultad de Ingeniería: 91,Facultad de Ingeniería: 8.46,Asignación total de 381 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos en matemáticas y física. Interés por la electricidad, la electrónica, los circuitos y los sistemas de potencia.","El ingeniero eléctrico electrónico genera, transmite y distribuye energía eléctrica, además de diseñar sistemas electrónicos y de control para aplicaciones industriales, comerciales y domésticas.","ingeniería eléctrica, electrónica, sistemas de potencia, circuitos, control, máquinas eléctricas, instrumentación"
Ingeniería en Alimentos,"Facultad de Química, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 903. La asignación total de lugares para esta carrera fue de 110, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 66% del alumnado de primer ingreso son mujeres y 34% hombres.",Facultad de Química: 88,Facultad de Química: 8.45,Asignación total de 110 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud o Físico-Matemáticas. Interés por los alimentos, su procesamiento, conservación y calidad.","El ingeniero en alimentos aplica los principios de la ingeniería y la ciencia de los alimentos para procesar, conservar, transformar y asegurar la calidad e inocuidad de los productos alimenticios.","ingeniería en alimentos, tecnología de alimentos, procesamiento de alimentos, conservación, inocuidad, calidad alimentaria, biotecnología alimentaria"
Ingeniería en Computación,Facultad de Ingeniería (Cd. Mx.) / FES Aragón (Edo. Méx.),Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 5,405. La asignación total de lugares para esta carrera fue de 762, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 23% del alumnado de primer ingreso son mujeres y 77% hombres.",Facultad de Ingeniería: 94 | FES Aragón: 74,Facultad de Ingeniería: 8.60 | FES Aragón: 7.88,Asignación total de 762 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Gusto por la tecnología, la programación y el desarrollo de software y hardware. Capacidad de análisis lógico y resolución de problemas.","El ingeniero en computación diseña, desarrolla e implementa sistemas de cómputo, tanto de hardware como de software, para resolver problemas en diversas áreas de la industria y los servicios.","ingeniería en computación, sistemas computacionales, hardware, software, programación, redes, sistemas embebidos, arquitectura de computadoras"
Ingeniería en Energías Renovables,"ENES Unidad Juriquilla, Querétaro",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 412. La asignación total de lugares para esta carrera fue de 75, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 37% del alumnado de primer ingreso son mujeres y 63% hombres.",ENES Unidad Juriquilla: 85,ENES Unidad Juriquilla: 8.29,Asignación total de 75 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por las energías limpias, la sustentabilidad y la tecnología ambiental. Capacidad de innovación y vocación ecológica.","El ingeniero en energías renovables evalúa, diseña e implementa sistemas de generación de energía a partir de fuentes renovables como solar, eólica, biomasa e hidráulica para un desarrollo energético sustentable.","energías renovables, energía solar, energía eólica, biomasa, sustentabilidad, celdas fotovoltaicas, eficiencia energética"
Ingeniería en Sistemas Biomédicos,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,124. La asignación total de lugares para esta carrera fue de 78, por lo que de cada 14 estudiantes que demandaron la carrera, ingresó 1. El 51% del alumnado de primer ingreso son mujeres y 49% hombres.",Facultad de Ingeniería: 99,Facultad de Ingeniería: 8.96,Asignación total de 78 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Biológicas y de la Salud. Interés por la tecnología médica, la electrónica y la biología. Vocación de servicio en el sector salud.","El ingeniero en sistemas biomédicos aplica la ingeniería para resolver problemas en medicina y biología, diseñando, desarrollando y manteniendo equipo y tecnología para el diagnóstico, tratamiento y rehabilitación.","ingeniería biomédica, tecnología médica, instrumentación médica, bioingeniería, equipo médico, prótesis, imágenes médicas"
Ingeniería en Telecomunicaciones,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 896. La asignación total de lugares para esta carrera fue de 116, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 23% del alumnado de primer ingreso son mujeres y 77% hombres.",Facultad de Ingeniería: 88,Facultad de Ingeniería: 8.33,Asignación total de 116 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por las comunicaciones, las redes y la transmisión de información. Capacidad de análisis y actualización tecnológica constante.","El ingeniero en telecomunicaciones diseña, implementa y opera sistemas de transmisión de voz, datos y video, así como redes de comunicaciones alámbricas e inalámbricas.","telecomunicaciones, comunicaciones, redes, transmisión de datos, fibra óptica, comunicaciones satelitales, sistemas inalámbricos"
Ingeniería en Telecomunicaciones, Sistemas y Electrónica,"Facultad de Estudios Superiores Cuautitlán, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 848. La asignación total de lugares para esta carrera fue de 144, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 22% del alumnado de primer ingreso son mujeres y 78% hombres.",FES Cuautitlán: 65,FES Cuautitlán: 7.45,Asignación total de 144 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la electrónica, las telecomunicaciones y los sistemas digitales. Gusto por la tecnología y la innovación.","El ingeniero en telecomunicaciones, sistemas y electrónica integra conocimientos de electrónica, comunicaciones y sistemas computacionales para diseñar y operar sistemas de comunicación y control."
Ingeniería Geofísica,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 219. La asignación total de lugares para esta carrera fue de 83, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 40% del alumnado de primer ingreso son mujeres y 60% hombres.",Facultad de Ingeniería: 69,Facultad de Ingeniería: 7.81,Asignación total de 83 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la física de la Tierra, los fenómenos naturales y la exploración del subsuelo. Gusto por el trabajo de campo.","El ingeniero geofísico aplica métodos físicos y matemáticos para explorar el subsuelo, localizar recursos naturales, estudiar fenómenos geológicos y evaluar riesgos naturales.","geofísica, exploración geofísica, sismología, gravimetría, magnetometría, recursos naturales, geología"
Ingeniería Geológica,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 245. La asignación total de lugares para esta carrera fue de 88, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 40% del alumnado de primer ingreso son mujeres y 60% hombres.",Facultad de Ingeniería: 68,Facultad de Ingeniería: 7.79,Asignación total de 88 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la geología, los materiales terrestres y la ingeniería aplicada a obras civiles. Gusto por el trabajo de campo.","El ingeniero geólogo estudia la composición y estructura de la corteza terrestre para aplicarlo en la construcción de obras civiles, la exploración de recursos y la prevención de riesgos geológicos.","ingeniería geológica, geotecnia, mecánica de rocas, mecánica de suelos, geología aplicada, estabilidad de taludes, hidrogeología"
Ingeniería Geomática,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 373. La asignación total de lugares para esta carrera fue de 97, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 38% del alumnado de primer ingreso son mujeres y 62% hombres.",Facultad de Ingeniería: 73,Facultad de Ingeniería: 7.92,Asignación total de 97 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la captura, procesamiento y análisis de información geográfica. Gusto por la tecnología satelital y los sistemas de posicionamiento.","El ingeniero geomático captura, procesa, analiza y representa información geográfica mediante tecnologías como GPS, percepción remota y sistemas de información geográfica (SIG).","geomática, SIG, sistemas de información geográfica, percepción remota, GPS, fotogrametría, cartografía digital, geodesia"
Ingeniería Industrial,Facultad de Ingeniería (Cd. Mx.) / FES Aragón (Edo. Méx.),Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 4,814. La asignación total de lugares para esta carrera fue de 614, por lo que de cada 8 estudiantes que demandaron la carrera, ingresó 1. El 41% del alumnado de primer ingreso son mujeres y 59% hombres.",Facultad de Ingeniería: 89 | FES Aragón: 70,Facultad de Ingeniería: 8.32 | FES Aragón: 7.73,Asignación total de 614 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la optimización de procesos, la productividad y la calidad. Capacidad de liderazgo y trabajo en equipo.","El ingeniero industrial diseña, mejora e implementa sistemas integrados de personas, materiales, información, equipo y energía para optimizar la productividad y calidad en organizaciones.","ingeniería industrial, productividad, calidad, optimización, procesos, logística, cadena de suministro, manufactura"
Ingeniería Mecánica,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,991. La asignación total de lugares para esta carrera fue de 307, por lo que de cada 6 estudiantes que demandaron la carrera, ingresó 1. El 18% del alumnado de primer ingreso son mujeres y 82% hombres.",Facultad de Ingeniería: 90,Facultad de Ingeniería: 8.40,Asignación total de 307 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos en matemáticas, física y mecánica. Interés por las máquinas, los mecanismos y los procesos de manufactura.","El ingeniero mecánico diseña, construye, opera y mantiene sistemas mecánicos, térmicos y de fluidos, así como maquinaria y equipo para la industria manufacturera y de transformación.","ingeniería mecánica, mecánica, termodinámica, máquinas, mecanismos, manufactura, diseño mecánico, energía"
Ingeniería Mecánica Eléctrica,"Facultad de Estudios Superiores Cuautitlán, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,116. La asignación total de lugares para esta carrera fue de 225, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 14% del alumnado de primer ingreso son mujeres y 86% hombres.",FES Cuautitlán: 60,FES Cuautitlán: 7.32,Asignación total de 225 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por los sistemas mecánicos y eléctricos, la maquinaria industrial y las instalaciones electromecánicas.","El ingeniero mecánico electricista integra conocimientos de mecánica y electricidad para diseñar, instalar y mantener sistemas electromecánicos en plantas industriales, edificios y sistemas de transporte.","ingeniería mecánica, eléctrica, electromecánica, máquinas eléctricas, instalaciones eléctricas, sistemas mecánicos, mantenimiento industrial"
Ingeniería Mecatrónica,Facultad de Ingeniería (Cd. Mx.) / FES Aragón (Edo. Méx.),Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 4,342. La asignación total de lugares para esta carrera fue de 360, por lo que de cada 12 estudiantes que demandaron la carrera, ingresó 1. El 18% del alumnado de primer ingreso son mujeres y 82% hombres.",Facultad de Ingeniería: 101 | FES Aragón: 77,Facultad de Ingeniería: 9.02 | FES Aragón: 8.14,Asignación total de 360 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la robótica, la automatización y la integración de sistemas mecánicos, electrónicos y de control. Creatividad e innovación.","El ingeniero mecatrónico integra mecánica, electrónica, control y computación para diseñar, construir y operar sistemas automatizados y productos inteligentes para la industria.","mecatrónica, robótica, automatización, control, electrónica, mecánica, sistemas inteligentes, manufactura automatizada"
Ingeniería Petrolera,"Facultad de Ingeniería, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 494. La asignación total de lugares para esta carrera fue de 107, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 35% del alumnado de primer ingreso son mujeres y 65% hombres.",Facultad de Ingeniería: 77,Facultad de Ingeniería: 8.00,Asignación total de 107 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por la industria petrolera, la exploración y explotación de hidrocarburos. Gusto por el trabajo de campo y en plataformas.","El ingeniero petrolero explora, perfora, extrae y transporta hidrocarburos (petróleo y gas), aplicando tecnologías para maximizar la producción de yacimientos de manera segura y sustentable.","ingeniería petrolera, petróleo, gas, perforación, yacimientos, producción de hidrocarburos, ingeniería de pozos, refinación"
Ingeniería Química,"Facultad de Química, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,407. La asignación total de lugares para esta carrera fue de 209, por lo que de cada 7 estudiantes que demandaron la carrera, ingresó 1. El 47% del alumnado de primer ingreso son mujeres y 53% hombres.",Facultad de Química: 88,Facultad de Química: 8.44,Asignación total de 209 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Sólidos conocimientos en química, física y matemáticas. Interés por los procesos industriales de transformación química.","El ingeniero químico diseña, opera, controla y optimiza procesos industriales para la transformación física y química de materias primas en productos útiles para la sociedad.","ingeniería química, procesos químicos, industria química, reactores, operaciones unitarias, termodinámica química, fenómenos de transporte"
Ingeniería Química Metalúrgica,"Facultad de Química, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 176. La asignación total de lugares para esta carrera fue de 74, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 42% del alumnado de primer ingreso son mujeres y 58% hombres.",Facultad de Química: 69,Facultad de Química: 7.74,Asignación total de 74 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas o Químico-Biológicas. Interés por los metales, las aleaciones y los procesos de obtención y transformación metalúrgica.","El ingeniero químico metalúrgico aplica los principios de la química y la ingeniería para extraer y procesar metales a partir de minerales, así como para desarrollar nuevas aleaciones y materiales.","metalurgia, ingeniería química, metales, aleaciones, pirometalurgia, hidrometalurgia, electrometalurgia, materiales"
Investigación Biomédica Básica,"Facultad de Medicina, Ciudad de México","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 863. La asignación total de lugares para esta carrera fue de 70, por lo que de cada 12 estudiantes que demandaron la carrera, ingresó 1. El 64% del alumnado de primer ingreso son mujeres y 36% hombres.",Facultad de Medicina: 107,Facultad de Medicina: 9.38,Asignación total de 70 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en biología, química y física. Interés por la investigación científica en el área de la salud y la biomedicina.","El investigador biomédico básico genera conocimiento científico sobre los mecanismos moleculares, celulares y fisiológicos de las enfermedades para contribuir al desarrollo de nuevos tratamientos y estrategias de prevención.","investigación biomédica, biomedicina, ciencias básicas, biología molecular, fisiología, bioquímica, investigación en salud, laboratorio"
Lengua y Literaturas Hispánicas,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 288. La asignación total de lugares para esta carrera fue de 139, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",Facultad de Filosofía y Letras: 63,Facultad de Filosofía y Letras: 7.62,Asignación total de 139 lugares,"Haber cursado el Área de las Humanidades y Artes. Gusto por la lectura, la escritura y el análisis de textos literarios. Interés por la lengua española, su estructura y evolución.","El licenciado en Lengua y Literaturas Hispánicas estudia la lengua española en su historia y estructura, así como la producción literaria en español, desarrollando habilidades de análisis, crítica y creación.","letras hispánicas, literatura española, literatura hispanoamericana, lengua española, lingüística hispánica, análisis literario, crítica literaria"
Letras Clásicas,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 106. La asignación total de lugares para esta carrera fue de 68, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 46% del alumnado de primer ingreso son mujeres y 54% hombres.",Facultad de Filosofía y Letras: 58,Facultad de Filosofía y Letras: 7.55,Asignación total de 68 lugares,Haber cursado el Área de las Humanidades y Artes. Interés por las lenguas y culturas clásicas (griego y latín) y su influencia en la civilización occidental. Gusto por la lectura y la investigación filológica.,"El licenciado en Letras Clásicas estudia las lenguas, literaturas y culturas de la antigüedad grecolatina, base de la civilización occidental, desarrollando habilidades de análisis filológico y traducción.","letras clásicas, latín, griego antiguo, filología clásica, literatura grecolatina, cultura clásica, etimologías, traducción"
Lingüística Aplicada,"ENES Unidad Morelia, Michoacán",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 141. La asignación total de lugares para esta carrera fue de 63, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 60% del alumnado de primer ingreso son mujeres y 40% hombres.",ENES Unidad Morelia: 55,ENES Unidad Morelia: 7.62,Información no disponible en la página de oferta,"Haber cursado el Área de las Humanidades y Artes. Interés por el lenguaje, las lenguas y su aplicación en contextos reales (enseñanza, traducción, políticas lingüísticas). Capacidad de análisis.","El lingüista aplicado utiliza los conocimientos teóricos de la lingüística para resolver problemas relacionados con el lenguaje en ámbitos como la educación, la traducción, la tecnología y la sociedad.","lingüística aplicada, lenguaje, lenguas, enseñanza de lenguas, traducción, psicolingüística, sociolingüística, tecnologías del lenguaje"
Literatura Dramática y Teatro,"Facultad de Filosofía y Letras, Ciudad de México",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 341. La asignación total de lugares para esta carrera fue de 82, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 63% del alumnado de primer ingreso son mujeres y 37% hombres.",Facultad de Filosofía y Letras: 70,Facultad de Filosofía y Letras: 7.84,Asignación total de 82 lugares,"Haber cursado el Área de las Humanidades y Artes. Interés por el teatro, la dramaturgia, la actuación y la puesta en escena. Creatividad, sensibilidad artística y capacidad de trabajo en equipo.","El licenciado en Literatura Dramática y Teatro analiza, crea y pone en escena obras teatrales, combinando el estudio de la teoría dramática con la práctica escénica.","teatro, dramaturgia, actuación, dirección escénica, literatura dramática, puesta en escena, artes escénicas, guionismo teatral"
Literatura Intercultural,"ENES Unidad Morelia, Michoacán",Humanidades y de las Artes,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 89. La asignación total de lugares para esta carrera fue de 57, por lo que de cada 2 estudiantes que demandaron la carrera, ingresó 1. El 56% del alumnado de primer ingreso son mujeres y 44% hombres.",ENES Unidad Morelia: 57,ENES Unidad Morelia: 7.66,Información no disponible en la página de oferta,"Haber cursado el Área de las Humanidades y Artes. Interés por la literatura, la diversidad cultural y el diálogo entre culturas. Gusto por la lectura y el análisis crítico.","El licenciado en Literatura Intercultural estudia las expresiones literarias de diferentes culturas, especialmente las originarias de México y América, promoviendo el diálogo intercultural.","literatura, interculturalidad, literatura mexicana, literatura indígena, estudios culturales, diversidad cultural, análisis literario"
Manejo Sustentable de Zonas Costeras,"ENES Unidad Mérida, Yucatán","Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 218. La asignación total de lugares para esta carrera fue de 82, por lo que de cada 3 estudiantes que demandaron la carrera, ingresó 1. El 54% del alumnado de primer ingreso son mujeres y 46% hombres.",ENES Unidad Mérida: 59,ENES Unidad Mérida: 7.59,Asignación total de 82 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Interés por los ecosistemas costeros, el mar y la sustentabilidad. Gusto por el trabajo de campo y la investigación aplicada.","El licenciado en Manejo Sustentable de Zonas Costeras analiza y gestiona los recursos de las zonas costeras de manera integral, promoviendo su conservación y desarrollo sustentable.","zonas costeras, manejo costero, ecosistemas marinos, sustentabilidad, recursos costeros, oceanografía, ecología marina"
Matemáticas,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 760. La asignación total de lugares para esta carrera fue de 194, por lo que de cada 4 estudiantes que demandaron la carrera, ingresó 1. El 36% del alumnado de primer ingreso son mujeres y 64% hombres.",Facultad de Ciencias: 90,Facultad de Ciencias: 8.50,Asignación total de 194 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Sólidos conocimientos y gusto por las matemáticas puras. Capacidad de abstracción, razonamiento lógico y demostración formal.","El matemático estudia las propiedades y relaciones de los entes abstractos (números, figuras, estructuras) mediante el razonamiento lógico, desarrollando teorías aplicables a diversas ciencias.","matemáticas, álgebra, geometría, análisis matemático, matemáticas puras, lógica, topología, teoría de números"
Matemáticas Aplicadas,"Facultad de Ciencias, Ciudad de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 338. La asignación total de lugares para esta carrera fue de 73, por lo que de cada 5 estudiantes que demandaron la carrera, ingresó 1. El 41% del alumnado de primer ingreso son mujeres y 59% hombres.",Facultad de Ciencias: 88,Facultad de Ciencias: 8.38,Asignación total de 73 lugares,Haber cursado el Área de las Ciencias Físico-Matemáticas. Gusto por las matemáticas y su aplicación en problemas concretos de otras ciencias o la industria. Capacidad de modelación matemática.,"El matemático aplicado utiliza herramientas matemáticas para modelar, analizar y resolver problemas de otras disciplinas como física, biología, economía o ingeniería.","matemáticas aplicadas, modelación matemática, métodos numéricos, optimización, probabilidad, estadística, matemáticas industriales"
Matemáticas Aplicadas y Computación,"Facultad de Estudios Superiores Acatlán, Estado de México",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 1,465. La asignación total de lugares para esta carrera fue de 166, por lo que de cada 9 estudiantes que demandaron la carrera, ingresó 1. El 34% del alumnado de primer ingreso son mujeres y 66% hombres.",FES Acatlán: 75,FES Acatlán: 7.86,Asignación total de 166 lugares,"Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por las matemáticas, la computación y la aplicación de ambas en la solución de problemas. Gusto por la programación.","El licenciado en Matemáticas Aplicadas y Computación integra el conocimiento matemático con las herramientas computacionales para resolver problemas complejos en ciencia, tecnología e industria.","matemáticas aplicadas, computación, programación, análisis numérico, simulación, optimización, ciencia de datos"
Matemáticas para el Desarrollo,"ENES Unidad León, Guanajuato",Ciencias Físico - Matemáticas y de las Ingenierías,"La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 38. La asignación total de lugares para esta carrera fue de 28, por lo que de cada 1 estudiante que demandó la carrera, ingresó 1. El 46% del alumnado de primer ingreso son mujeres y 54% hombres.",ENES Unidad León: 45,ENES Unidad León: 7.40,Información no disponible en la página de oferta,Haber cursado el Área de las Ciencias Físico-Matemáticas. Interés por las matemáticas y su aplicación en el desarrollo social y económico. Vocación por resolver problemas del entorno.,"El licenciado en Matemáticas para el Desarrollo aplica el razonamiento matemático y computacional para atender problemáticas del desarrollo regional y nacional en áreas como economía, salud y medio ambiente.","matemáticas, desarrollo, modelación, optimización, estadística aplicada, desarrollo regional, matemáticas sociales"
Médico Cirujano,Facultad de Medicina (Cd. Mx.) / FES Iztacala (Edo. Méx.) / FES Zaragoza (Edo. Méx.),"Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 37,579. La asignación total de lugares para esta carrera fue de 1,569, por lo que de cada 24 estudiantes que demandaron la carrera, ingresó 1. El 63% del alumnado de primer ingreso son mujeres y 37% hombres.",Facultad de Medicina: 113 | FES Iztacala: 104 | FES Zaragoza: 106,Facultad de Medicina: 9.39 | FES Iztacala: 9.06 | FES Zaragoza: 9.12,"Asignación total de 1,569 lugares","Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Sólidos conocimientos en biología, química, física y matemáticas. Vocación de servicio, empatía, ética y resistencia al estrés.","El Médico Cirujano es el profesional que previene, diagnostica, trata y rehabilita las enfermedades del ser humano, promoviendo la salud individual y colectiva con un enfoque científico, ético y humanista.","medicina, médico cirujano, salud, enfermedad, diagnóstico, tratamiento, clínica, cirugía, salud pública"
Medicina Veterinaria y Zootecnia,Facultad de Medicina Veterinaria y Zootecnia (Cd. Mx.) / FES Cuautitlán (Edo. Méx.),"Ciencias Biológicas, Químicas y de la Salud","La demanda a primer ingreso en esta licenciatura en el ciclo 2023-2024 fue de 6,680. La asignación total de lugares para esta carrera fue de 700, por lo que de cada 10 estudiantes que demandaron la carrera, ingresó 1. El 64% del alumnado de primer ingreso son mujeres y 36% hombres.",FMVZ: 97 | FES Cuautitlán: 83,FMVZ: 8.83 | FES Cuautitlán: 8.28,Asignación total de 700 lugares,"Haber cursado el Área de las Ciencias Biológicas, Químicas y de la Salud. Interés por los animales, su salud, producción y bienestar. Gusto por el trabajo de campo y la investigación.","El Médico Veterinario Zootecnista previene, diagnostica y trata las enfermedades de los animales, además de promover su producción eficiente y sustentable para beneficio de la sociedad.","veterinaria, zootecnia, animales, salud animal, producción animal, medicina veterinaria, bienestar animal, inocuidad alimentaria"
